id,gm_time_s,extend_time_s,extend_g_time_s,ilp_time_s,syn_time_s
0,0.0114,0.0106,0.0106,2.4589,0.0104
1,0.0036,0.003,0.0031,0.7811,0.0034
2,0.004,0.0034,0.0034,1.5802,0.0032
3,0.0033,0.0027,0.0028,0.5011,0.0027
4,0.0047,0.0043,0.0041,1.3016,0.0039
5,0.0032,0.0027,0.0028,0.9726,0.0024
6,0.0023,0.0017,0.0019,0.1869,0.0018
7,0.0034,0.0028,0.0029,0.7958,0.0027
8,0.0035,0.003,0.003,1.0443,0.0031
9,0.0042,0.0041,0.0037,1.3955,0.0033
10,0.0021,0.0016,0.0018,0.1231,0.002
11,0.0032,0.0021,0.0028,0.2617,0.0029
12,0.0037,0.0033,0.0033,0.6666,0.0039
13,0.0026,0.0021,0.0022,0.4321,0.003
14,0.0016,0.0011,0.0013,0.072,0.0023
15,0.0034,0.0029,0.003,1.0742,0.0035
16,0.0031,0.0035,0.0027,1.1485,0.003
17,0.0033,0.0028,0.0029,0.5123,0.0025
18,0.0023,0.0017,0.0019,0.237,0.0017
19,0.0015,0.0011,0.0013,0.0617,0.0017
20,0.0032,0.0027,0.0028,0.5011,0.003
21,0.0024,0.0019,0.0021,0.3893,0.002
22,0.0045,0.0042,0.0039,3.3687,0.0039
23,0.0032,0.0026,0.0028,0.7491,0.0038
24,0.0036,0.0031,0.0031,1.5129,0.004
25,0.0037,0.0026,0.0034,0.4748,0.0036
26,0.0032,0.0027,0.0028,0.4548,0.0023
27,0.0036,0.0035,0.0032,0.7058,0.0025
28,0.004,0.0035,0.0035,2.7471,0.0028
29,0.0024,0.0019,0.0021,0.2535,0.0019
30,0.0034,0.0028,0.0029,1.0565,0.0024
31,0.0033,0.0027,0.0028,0.9871,0.0023
32,0.0026,0.002,0.0022,0.432,0.0022
33,0.0037,0.0031,0.0032,2.0021,0.0027
34,0.0046,0.0047,0.0041,5.2596,0.0049
35,0.0038,0.0033,0.0033,0.9283,0.0028
36,0.0016,0.0011,0.0013,0.0721,0.0019
37,0.0047,0.0038,0.004,1.1299,0.0036
38,0.0045,0.0042,0.004,3.9033,0.0039
39,0.0041,0.0038,0.0036,2.2758,0.0048
40,0.0025,0.002,0.0022,0.2704,0.0025
41,0.0022,0.0017,0.0019,0.1825,0.0027
42,0.0033,0.0027,0.0029,0.6861,0.0036
43,0.0035,0.003,0.003,0.6888,0.0036
44,0.0025,0.0019,0.0022,0.2464,0.0029
45,0.0044,0.0039,0.0038,3.5185,0.0041
46,0.0048,0.0045,0.0042,4.4096,0.0039
47,0.0043,0.004,0.0038,1.5649,0.0036
48,0.0048,0.0037,0.0043,1.1479,0.0035
49,0.0033,0.0039,0.0029,0.5459,0.0026
50,0.0042,0.0037,0.0036,1.1117,0.0045
51,0.0038,0.0033,0.0033,0.8066,0.0039
52,0.004,0.0034,0.0034,0.9597,0.0044
53,0.0023,0.0017,0.0019,0.2047,0.0018
54,0.0035,0.0031,0.0031,1.3543,0.004
55,0.0031,0.0025,0.0027,0.5463,0.0034
56,0.0031,0.0025,0.0027,0.5465,0.0036
57,0.0022,0.0017,0.0019,0.224,0.0028
58,0.0014,0.0009,0.0012,0.0572,0.0012
59,0.0035,0.0038,0.003,0.7283,0.0038
60,0.0036,0.003,0.0031,0.7443,0.0048
61,0.0023,0.0017,0.0019,0.2024,0.0031
62,0.0084,0.0058,0.0059,18.3745,0.0063
63,0.0046,0.0025,0.0026,0.5438,0.003
64,0.0032,0.0016,0.0018,0.2082,0.002
65,0.0047,0.0025,0.0026,0.5127,0.0029
66,0.0031,0.0022,0.0018,0.14,0.0023
67,0.0037,0.0018,0.0021,0.22,0.0026
68,0.0041,0.0022,0.0023,0.3661,0.0029
69,0.0064,0.0035,0.0035,1.7833,0.0042
70,0.0024,0.0012,0.0014,0.1011,0.002
71,0.0054,0.0031,0.003,0.6964,0.0041
72,0.0048,0.0025,0.0033,0.4866,0.004
73,0.0025,0.0012,0.0021,0.0873,0.0022
74,0.0046,0.0031,0.0039,0.7982,0.0039
75,0.0086,0.0074,0.0072,4.1626,0.0058
76,0.0077,0.0076,0.0198,7.609,0.0069
77,0.0048,0.0041,0.0042,0.5429,0.0041
78,0.0034,0.0028,0.003,0.2542,0.0031
79,0.0056,0.0051,0.018,1.8881,0.0046
80,0.0031,0.0038,0.0041,0.5827,0.004
81,0.0025,0.003,0.0032,0.3222,0.0031
82,0.0035,0.0044,0.0173,0.7095,0.0043
83,0.0043,0.0068,0.0038,1.1576,0.0053
84,0.0023,0.0026,0.0019,0.1802,0.003
85,0.0056,0.0086,0.0049,2.4239,0.0068
86,0.003,0.0037,0.0026,0.7052,0.0033
87,0.0043,0.0049,0.0037,0.7711,0.0033
88,0.0058,0.0093,0.0051,3.9134,0.0077
89,0.0022,0.0026,0.0019,0.1796,0.0035
90,0.0021,0.0024,0.0019,0.1465,0.003
91,0.0046,0.0068,0.0039,3.338,0.0051
92,0.0041,0.0057,0.0035,1.074,0.0031
93,0.002,0.0022,0.0017,0.1529,0.0015
94,0.003,0.0038,0.0026,0.4106,0.0023
95,0.0032,0.0029,0.0028,0.4909,0.0023
96,0.0022,0.0017,0.0019,0.1799,0.0022
97,0.0038,0.0033,0.0033,0.8324,0.0026
98,0.003,0.0024,0.0025,0.6864,0.0022
99,0.0038,0.004,0.0033,1.5308,0.0027
100,0.0042,0.0032,0.0037,0.9345,0.0027
101,0.0026,0.0019,0.0021,0.3375,0.0019
102,0.0051,0.005,0.0045,2.0693,0.0035
103,0.0034,0.0029,0.003,0.6333,0.0024
104,0.0049,0.003,0.003,0.8566,0.0025
105,0.0032,0.0021,0.0023,0.3613,0.002
106,0.0033,0.0026,0.0027,0.8069,0.0022
107,0.0043,0.0038,0.0037,1.1783,0.0029
108,0.0038,0.0033,0.0033,1.1144,0.0027
109,0.0035,0.0029,0.003,0.7192,0.0025
110,0.0035,0.0029,0.003,1.5015,0.0025
111,0.0027,0.0022,0.0025,0.3426,0.002
112,0.0056,0.0055,0.005,11.3572,0.0031
113,0.0038,0.0034,0.0033,2.1425,0.0027
114,0.0031,0.0024,0.0026,0.8819,0.002
115,0.0025,0.002,0.0022,0.2801,0.0024
116,0.0043,0.004,0.0038,3.9334,0.0029
117,0.0029,0.0024,0.0025,0.6507,0.0029
118,0.0028,0.0033,0.0024,0.7038,0.0029
119,0.0035,0.0029,0.003,0.6702,0.0025
120,0.0033,0.0027,0.0029,0.6882,0.0025
121,0.0022,0.0016,0.0018,0.2431,0.0015
122,0.0036,0.003,0.0031,1.366,0.0025
123,0.0033,0.0029,0.0028,1.1215,0.0021
124,0.0038,0.0025,0.0033,0.7746,0.0024
125,0.0028,0.0022,0.0024,0.3241,0.002
126,0.0038,0.0032,0.0032,0.9202,0.0027
127,0.0043,0.0039,0.0037,1.5684,0.0031
128,0.0044,0.0046,0.0038,2.0133,0.003
129,0.0027,0.0022,0.0023,0.312,0.002
130,0.0035,0.0029,0.003,0.6106,0.0026
131,0.0021,0.0015,0.0018,0.1283,0.0016
132,0.0019,0.0015,0.0017,0.1502,0.0015
133,0.0036,0.003,0.0031,0.6913,0.0026
134,0.0041,0.0036,0.0035,2.2725,0.0028
135,0.0035,0.003,0.0031,0.8815,0.0025
136,0.0015,0.0011,0.0013,0.0838,0.002
137,0.0034,0.0021,0.0028,0.3475,0.0019
138,0.002,0.0015,0.0017,0.1688,0.0016
139,0.004,0.0036,0.0035,0.9457,0.0027
140,0.0032,0.0026,0.0027,0.4558,0.0024
141,0.0032,0.0026,0.0029,0.8495,0.0023
142,0.0028,0.0023,0.0025,0.7162,0.002
143,0.0033,0.0029,0.0028,1.1452,0.0023
144,0.0055,0.0052,0.0046,8.6671,0.0036
145,0.0018,0.0013,0.0015,0.1657,0.0013
146,0.0033,0.0036,0.0029,0.5613,0.0024
147,0.0028,0.0022,0.0025,0.3523,0.002
148,0.0038,0.0033,0.0033,0.7286,0.0027
149,0.0043,0.0038,0.0037,3.0758,0.0029
