id,gm_time_s,extend_g_time_s
0,0.0113,0.0108
1,0.0035,0.0031
2,0.0039,0.0033
3,0.0032,0.0028
4,0.0045,0.004
5,0.0031,0.0027
6,0.0022,0.0019
7,0.0033,0.0028
8,0.0034,0.0029
9,0.0041,0.0036
10,0.002,0.0017
11,0.003,0.0026
12,0.0036,0.0032
13,0.0025,0.0022
14,0.0015,0.0013
15,0.0034,0.0029
16,0.003,0.0026
17,0.0032,0.0028
18,0.0022,0.0019
19,0.0016,0.0013
20,0.0031,0.0027
21,0.0023,0.002
22,0.0044,0.0038
23,0.0031,0.0027
24,0.0039,0.003
25,0.0031,0.0032
26,0.0031,0.0027
27,0.0036,0.0031
28,0.004,0.0034
29,0.0024,0.002
30,0.0033,0.0029
31,0.0032,0.0029
32,0.0026,0.0022
33,0.0036,0.0032
34,0.0045,0.0039
35,0.0037,0.0032
36,0.0015,0.0013
37,0.0045,0.0039
38,0.0044,0.0038
39,0.004,0.0035
40,0.0025,0.0021
41,0.0022,0.0019
42,0.0032,0.0028
43,0.0034,0.003
44,0.0024,0.0021
45,0.0043,0.0037
46,0.0047,0.0041
47,0.0048,0.0037
48,0.004,0.004
49,0.0032,0.0028
50,0.0042,0.0035
51,0.0037,0.0032
52,0.0039,0.0033
53,0.0022,0.0019
54,0.0034,0.003
55,0.003,0.0026
56,0.003,0.0026
57,0.0022,0.0019
58,0.0014,0.0012
59,0.0034,0.0029
60,0.0041,0.003
61,0.0022,0.0019
62,0.0057,0.0056
63,0.0029,0.0025
64,0.002,0.0017
65,0.003,0.0026
66,0.002,0.0017
67,0.0023,0.002
68,0.0027,0.0022
69,0.004,0.0034
70,0.0017,0.0014
71,0.0034,0.0029
72,0.003,0.0026
73,0.0016,0.0014
74,0.0029,0.0025
75,0.0051,0.0045
76,0.0048,0.0042
77,0.0031,0.0026
78,0.0022,0.0019
79,0.0036,0.0031
80,0.0031,0.0027
81,0.0025,0.0021
82,0.0033,0.0029
83,0.0041,0.0037
84,0.0023,0.0019
85,0.0054,0.0048
86,0.0029,0.0025
87,0.004,0.0035
88,0.0056,0.0049
89,0.0022,0.0019
90,0.002,0.0018
91,0.0045,0.0041
92,0.004,0.0034
93,0.002,0.0017
94,0.003,0.0025
95,0.0032,0.0027
96,0.0022,0.0018
97,0.0037,0.0032
98,0.0029,0.0025
99,0.0043,0.0032
100,0.0035,0.0036
101,0.0024,0.0021
102,0.005,0.0044
103,0.0034,0.0029
104,0.0034,0.003
105,0.0026,0.0023
106,0.0031,0.0027
107,0.0041,0.0036
108,0.0037,0.0034
109,0.0036,0.003
110,0.0034,0.0029
111,0.0033,0.0023
112,0.0047,0.0047
113,0.0037,0.0032
114,0.003,0.0025
115,0.0025,0.0021
116,0.0042,0.0037
117,0.0029,0.0025
118,0.0028,0.0024
119,0.0034,0.0029
120,0.0032,0.0028
121,0.0021,0.0018
122,0.0035,0.003
123,0.0032,0.0027
124,0.0036,0.0031
125,0.0027,0.0023
126,0.0037,0.0034
127,0.0042,0.0038
128,0.0043,0.0037
129,0.0026,0.0022
130,0.0034,0.0029
131,0.0021,0.0017
132,0.0019,0.0016
133,0.0035,0.003
134,0.004,0.0035
135,0.0035,0.003
136,0.0015,0.0012
137,0.0031,0.0027
138,0.0019,0.0017
139,0.0039,0.0034
140,0.0031,0.0026
141,0.0032,0.0028
142,0.0028,0.0024
143,0.0034,0.0028
144,0.0055,0.0045
145,0.0018,0.0014
146,0.0033,0.0028
147,0.003,0.0024
148,0.0039,0.0032
149,0.0043,0.0036
150,0.0044,0.0036
151,0.0025,0.0022
152,0.0045,0.0039
153,0.0037,0.0033
154,0.0038,0.0033
155,0.0024,0.002
156,0.0017,0.0015
157,0.0023,0.002
158,0.0028,0.0024
159,0.0032,0.0028
160,0.0035,0.003
161,0.0048,0.0041
162,0.0039,0.0034
163,0.005,0.003
164,0.0032,0.0028
165,0.0033,0.0028
166,0.0029,0.0024
167,0.0022,0.0019
168,0.0043,0.0038
169,0.0049,0.0045
170,0.0033,0.0029
171,0.0033,0.0029
172,0.0037,0.0033
173,0.0033,0.0028
174,0.003,0.0032
175,0.0042,0.0031
176,0.0038,0.0034
177,0.0018,0.0016
178,0.003,0.0026
179,0.0019,0.0016
180,0.0037,0.0032
181,0.0024,0.0021
182,0.0027,0.0023
183,0.0045,0.0039
184,0.002,0.0016
185,0.0015,0.0013
