id,gm_time_s,extend_time_s,extend_g_time_s,ilp_time_s,syn_time_s
0,0.0113,0.0108,0.0106,2.3353,0.0097
1,0.0036,0.0031,0.0032,0.7964,0.0027
2,0.0041,0.0035,0.0035,1.6176,0.0028
3,0.0033,0.0027,0.0029,0.533,0.0023
4,0.0048,0.0044,0.0042,1.3634,0.0032
5,0.0032,0.0027,0.0029,0.9384,0.0024
6,0.0023,0.0018,0.002,0.1948,0.002
7,0.0034,0.0029,0.003,0.8098,0.0025
8,0.0035,0.0031,0.0031,1.6854,0.0026
9,0.0042,0.0042,0.0038,1.4321,0.0029
10,0.0021,0.0017,0.0018,0.1273,0.0016
11,0.0032,0.0022,0.0028,0.2688,0.002
12,0.0038,0.0034,0.0033,0.6915,0.0027
13,0.0026,0.0021,0.0023,0.4435,0.002
14,0.0016,0.0012,0.0014,0.0732,0.0013
15,0.0035,0.003,0.0031,1.0949,0.0025
16,0.0031,0.0035,0.0027,1.1594,0.0026
17,0.0034,0.0029,0.0029,0.5296,0.0025
18,0.0023,0.0017,0.002,0.2417,0.0017
19,0.0016,0.0011,0.0014,0.0628,0.0012
20,0.0032,0.0027,0.0028,0.4983,0.0025
21,0.0025,0.002,0.0021,0.361,0.0019
22,0.0058,0.0043,0.004,3.4432,0.0033
23,0.0051,0.0027,0.0028,0.7674,0.0024
24,0.0057,0.0031,0.0045,1.5476,0.0027
25,0.0056,0.003,0.0052,0.4933,0.0024
26,0.005,0.0042,0.0044,0.4696,0.0025
27,0.0058,0.0056,0.0051,0.7225,0.0033
28,0.0064,0.0056,0.0055,2.7879,0.0044
29,0.0038,0.0029,0.0032,0.2595,0.0028
30,0.0053,0.0044,0.0046,1.0825,0.0036
31,0.0052,0.0042,0.0044,1.007,0.0035
32,0.0041,0.0032,0.0035,0.4449,0.003
33,0.0059,0.005,0.0051,2.0332,0.004
34,0.0073,0.0073,0.0064,5.1093,0.005
35,0.006,0.0052,0.0053,0.9229,0.0043
36,0.0023,0.0017,0.002,0.0715,0.0018
37,0.0071,0.006,0.0062,1.1207,0.0048
38,0.0046,0.0067,0.0063,3.8315,0.0048
39,0.0041,0.006,0.0057,2.2308,0.0043
40,0.0025,0.003,0.0034,0.2699,0.0028
41,0.0022,0.0026,0.003,0.1792,0.0025
42,0.0034,0.0042,0.0045,0.6376,0.0036
43,0.0038,0.0046,0.0047,0.6816,0.0038
44,0.0025,0.0022,0.0033,0.244,0.0027
45,0.0044,0.004,0.006,3.393,0.0046
46,0.005,0.0046,0.0051,4.3324,0.0052
47,0.0044,0.0041,0.0039,1.5676,0.0046
48,0.0049,0.0039,0.0044,1.1792,0.0046
49,0.0033,0.004,0.0029,0.5589,0.0031
50,0.0043,0.0038,0.0036,1.1448,0.0028
