,id,gm,rb1,rb2,ilp,its_nodes,its_edges,rc_nodes,rc_edges
0,0,0.011420000000000001,0.0107,0.010700000000000001,2.5465,39,41,4,4
1,1,0.0036199999999999995,0.00324,0.0031399999999999996,0.8186,32,36,4,4
2,2,0.00402,0.0037600000000000003,0.00338,1.616,36,41,4,4
3,3,0.0032800000000000004,0.0028600000000000006,0.0028000000000000004,0.61224,29,33,4,4
4,4,0.00522,0.0046,0.00414,1.33314,43,49,4,4
5,5,0.00334,0.0031200000000000004,0.00298,0.93452,29,33,4,4
6,6,0.00276,0.00224,0.0020800000000000003,0.18892,21,22,4,4
7,7,0.00364,0.00298,0.0033,0.8050200000000001,31,34,4,4
8,8,0.00366,0.0030599999999999994,0.00296,1.0536400000000001,33,36,4,4
9,9,0.0044199999999999995,0.00418,0.00364,1.4113600000000002,43,45,4,4
10,10,0.00218,0.00166,0.00176,0.12514,18,20,4,4
11,11,0.0032999999999999995,0.0021599999999999996,0.00278,0.26458,23,26,4,4
12,12,0.004,0.0033600000000000006,0.00324,0.6781400000000001,35,40,4,4
13,13,0.0028400000000000005,0.0021199999999999995,0.0022200000000000006,0.43655999999999995,23,26,4,4
14,14,0.0015799999999999998,0.00114,0.0013,0.07284,13,14,4,4
15,15,0.00346,0.00296,0.00294,1.09696,32,36,4,4
16,16,0.0032,0.00364,0.00266,1.1497600000000001,29,32,4,4
17,17,0.0036200000000000004,0.00294,0.00286,0.5242800000000001,30,36,5,6
18,18,0.00238,0.00176,0.0019199999999999998,0.24072,21,22,4,4
19,19,0.00166,0.0011200000000000001,0.0013,0.06246,13,14,4,4
20,20,0.0034000000000000002,0.0027199999999999998,0.0027,0.49193999999999993,28,32,4,4
21,21,0.00244,0.00198,0.0020399999999999997,0.36541999999999997,23,24,4,4
22,22,0.0044800000000000005,0.004319999999999999,0.00378,3.41188,42,48,4,4
23,23,0.0031200000000000004,0.00278,0.0027400000000000002,0.77716,29,33,4,4
24,24,0.0041400000000000005,0.0032,0.0030399999999999997,1.52502,34,37,4,4
25,25,0.00324,0.00264,0.0032199999999999998,0.4897,30,33,4,4
26,26,0.00332,0.0027600000000000007,0.0026799999999999997,0.4646800000000001,29,33,4,4
27,27,0.00394,0.00424,0.0031200000000000004,0.7303600000000001,35,39,4,4
28,28,0.00426,0.00426,0.0034200000000000003,2.7876199999999995,38,43,4,4
29,29,0.00262,0.0022,0.00202,0.25810000000000005,22,24,4,4
30,30,0.0036000000000000003,0.0032,0.0029,1.08168,33,35,4,4
31,31,0.0035000000000000005,0.00286,0.00278,1.0049,31,34,4,4
32,32,0.0027400000000000002,0.0021000000000000003,0.0021599999999999996,0.44096,24,26,4,4
33,33,0.00396,0.00324,0.0031600000000000005,2.03132,35,39,4,4
34,34,0.0049,0.007260000000000001,0.003920000000000001,5.18286,44,49,4,4
35,35,0.0040999999999999995,0.0038200000000000005,0.0032199999999999998,0.9390000000000001,36,41,4,4
36,36,0.00162,0.0013000000000000002,0.0013,0.07266,13,14,4,4
37,37,0.004880000000000001,0.006240000000000001,0.00392,1.13616,40,43,4,4
38,38,0.004700000000000001,0.00772,0.00386,3.9367999999999994,46,50,4,4
39,39,0.0044199999999999995,0.00438,0.00354,2.30118,40,44,4,4
40,40,0.00272,0.00232,0.00214,0.27332,23,25,4,4
41,41,0.0024000000000000002,0.0030800000000000003,0.0019,0.1843,20,22,4,4
42,42,0.00352,0.00538,0.0028,0.67318,31,34,4,4
43,43,0.0035199999999999997,0.0037599999999999995,0.00298,0.6980600000000001,33,37,4,4
44,44,0.0025399999999999997,0.00222,0.0021,0.25233999999999995,23,25,4,4
45,45,0.004379999999999999,0.004520000000000001,0.0037199999999999998,3.5214999999999996,42,46,4,4
46,46,0.0047599999999999995,0.00524,0.00416,4.44722,46,52,4,4
47,47,0.0049,0.00466,0.0037400000000000003,1.57896,43,47,4,4
48,48,0.004059999999999999,0.00436,0.00414,1.1657199999999999,39,45,4,4
49,49,0.0032199999999999998,0.00446,0.00278,0.5570999999999999,30,34,4,4
50,50,0.00448,0.00404,0.00358,1.12666,40,44,4,4
51,51,0.00398,0.0038000000000000004,0.0032800000000000004,0.8171200000000001,36,41,4,4
52,52,0.00406,0.00426,0.0033599999999999997,0.9720400000000001,37,42,4,4
53,53,0.00236,0.00206,0.0019600000000000004,0.20572,20,22,4,4
54,54,0.0034799999999999996,0.0038199999999999996,0.003,1.36348,34,37,4,4
55,55,0.0031,0.0030800000000000003,0.00264,0.54958,29,32,4,4
56,56,0.0031,0.0030600000000000002,0.00262,0.55042,30,33,4,4
57,57,0.0024800000000000004,0.00206,0.0018800000000000002,0.2259,20,22,4,4
58,58,0.0015400000000000001,0.00106,0.00116,0.05791999999999999,12,12,4,4
59,59,0.00358,0.00464,0.00292,0.7381599999999999,35,37,4,4
60,60,0.0043,0.00364,0.0030399999999999997,0.7545000000000001,34,37,4,4
61,61,0.0023000000000000004,0.00204,0.0019199999999999998,0.20428000000000002,20,22,6,6
62,62,0.005880000000000001,0.00722,0.00566,18.50026,56,64,4,4
63,63,0.0030399999999999997,0.00306,0.00256,0.54842,27,30,4,4
64,64,0.0022199999999999998,0.0020399999999999997,0.00176,0.21094,18,21,4,4
65,65,0.0032799999999999995,0.0030800000000000003,0.00262,0.52722,29,32,4,4
66,66,0.00212,0.0026000000000000003,0.00172,0.1419,18,19,4,4
67,67,0.00232,0.00216,0.00202,0.22258,21,23,4,4
68,68,0.00272,0.00266,0.0022200000000000006,0.37142,26,27,4,4
69,69,0.00398,0.00436,0.0034200000000000003,1.8032400000000002,39,43,4,4
70,70,0.0016799999999999999,0.0013999999999999998,0.0013800000000000002,0.10341999999999998,14,15,4,4
71,71,0.0034799999999999996,0.00388,0.00292,0.7091800000000001,34,37,4,4
72,72,0.0030800000000000003,0.00282,0.00262,0.49272,28,31,4,4
73,73,0.0016400000000000002,0.0012,0.00142,0.08621999999999999,14,15,4,4
74,74,0.0029399999999999995,0.00246,0.00252,0.8049,28,31,4,4
75,75,0.00518,0.00524,0.00474,4.1985600000000005,46,53,4,4
76,76,0.004979999999999999,0.005379999999999999,0.004499999999999999,7.68874,48,53,4,4
77,77,0.0031599999999999996,0.00294,0.0027199999999999998,0.5128,29,32,4,4
78,78,0.0023000000000000004,0.0020800000000000003,0.00202,0.2539,20,22,4,4
79,79,0.00368,0.00366,0.0034000000000000002,1.90384,37,39,4,4
80,80,0.00306,0.00276,0.0028199999999999996,0.5908599999999999,28,31,4,4
81,81,0.00256,0.0022,0.0021000000000000003,0.32496,23,25,4,4
82,82,0.0033400000000000005,0.00318,0.00296,0.7305800000000001,32,35,4,4
83,83,0.00418,0.004940000000000001,0.00388,1.16108,41,46,4,4
84,84,0.00232,0.0018799999999999997,0.0020800000000000003,0.1799,20,22,4,4
85,85,0.005460000000000001,0.0060999999999999995,0.00516,2.43672,55,62,4,4
86,86,0.00294,0.00266,0.0027400000000000002,0.71218,28,30,4,4
87,87,0.00408,0.0034799999999999996,0.00366,0.7764200000000001,35,37,4,4
88,88,0.00572,0.00652,0.004960000000000001,3.9482399999999997,57,66,4,4
89,89,0.0022200000000000006,0.0018799999999999997,0.0019,0.1808,20,22,4,4
90,90,0.00214,0.00176,0.0018,0.14562000000000003,18,20,4,4
91,91,0.004520000000000001,0.0048000000000000004,0.0039,3.3364200000000004,43,49,4,4
92,92,0.00418,0.00402,0.00344,1.1034,39,43,4,4
93,93,0.00196,0.0015800000000000002,0.0016999999999999997,0.19698,18,19,4,4
94,94,0.003,0.00276,0.0025200000000000005,0.41554,26,30,4,4
95,95,0.0032200000000000006,0.00266,0.0027400000000000002,0.5037799999999999,29,34,4,4
